Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
MA Starc (AUS),10,10,92.2,5,502,27,43977,18.59,5.43,20.5,2,2
LH Ferguson (NZ),9,9,83.4,3,409,21,13606,19.47,4.88,23.9,1,0
JC Archer (ENG),11,11,100.5,8,461,20,43917,23.05,4.57,30.2,0,0
Mustafizur Rahman (BDESH),8,8,72.1,2,484,20,21671,24.2,6.7,21.6,0,2
JJ Bumrah (INDIA),9,9,84,9,371,18,20180,20.61,4.41,28,1,0
MA Wood (ENG),10,10,89.4,2,463,18,43908,25.72,5.16,29.8,0,0
Mohammad Amir (PAK),8,8,73,5,358,17,43981,21.05,4.9,25.7,0,1
TA Boult (NZ),10,10,99,4,479,17,43951,28.17,4.83,34.9,2,0
Shaheen Shah Afridi (PAK),5,5,47.1,3,234,16,12936,14.62,4.96,17.6,1,1
CR Woakes (ENG),11,11,85,6,446,16,43910,27.87,5.24,31.8,0,0
JDS Neesham (NZ),10,9,54.3,2,292,15,43982,19.46,5.35,21.8,0,1
Mohammed Shami (INDIA),4,4,35.1,2,193,14,25324,13.78,5.48,15,2,1
MJ Henry (NZ),9,9,80.2,5,392,14,17258,28,4.87,34.4,1,0
PJ Cummins (AUS),10,10,86.1,6,427,14,12114,30.5,4.95,36.9,0,0
CH Morris (SA),8,7,63.4,5,341,13,43903,26.23,5.35,29.3,0,0
SL Malinga (SL),7,7,61.4,4,373,13,15797,28.69,6.04,28.4,1,0
Mohammad Saifuddin (BDESH),7,7,58,2,417,13,26359,32.07,7.18,26.7,0,0
SS Cottrell (WI),9,9,67,2,392,12,20546,32.66,5.85,33.5,1,0
YS Chahal (INDIA),8,8,74,0,442,12,18719,36.83,5.97,37,1,0
LE Plunkett (ENG),7,7,56,0,272,11,15401,24.72,4.85,30.5,0,0
AL Phehlukwayo (SA),9,8,61.5,2,336,11,43879,30.54,5.43,33.7,0,0
Imran Tahir (SA),9,8,76,0,374,11,43950,34,4.92,41.4,1,0
K Rabada (SA),9,8,78,4,397,11,20515,36.09,5.08,42.5,0,0
Shakib Al Hasan (BDESH),8,8,74,1,399,11,43980,36.27,5.39,40.3,0,1
Wahab Riaz (PAK),8,8,66.4,1,400,11,16862,36.36,6,36.3,0,0
AU Rashid (ENG),11,11,92,0,526,11,19784,47.81,5.71,50.1,0,0
B Kumar (INDIA),6,6,51.4,1,269,10,15766,26.9,5.2,31,0,0
Mohammad Nabi (AFG),9,9,72.4,0,335,10,43951,33.5,4.61,43.6,1,0
HH Pandya (INDIA),9,9,79,1,447,10,21976,44.7,5.65,47.4,0,0
JP Behrendorff (AUS),5,5,44.1,2,227,9,16193,25.22,5.13,29.4,0,1
Shadab Khan (PAK),7,6,58,1,320,9,18323,35.55,5.51,38.6,0,0
CR Brathwaite (WI),8,7,44,0,323,9,23102,35.88,7.34,29.3,1,0
O Thomas (WI),9,9,58.1,1,380,9,43948,42.22,6.53,38.7,1,0
Gulbadin Naib (AFG),9,9,65.4,2,420,9,24898,46.66,6.39,43.7,0,0
Dawlat Zadran (AFG),5,5,39,1,288,8,31107,36,7.38,29.2,0,0
JO Holder (WI),9,8,61.1,4,343,8,15401,42.87,5.6,45.8,0,0
L Ngidi (SA),4,4,33,1,211,7,23437,30.14,6.39,28.2,0,0
MP Stoinis (AUS),8,8,40,1,244,7,13547,34.85,6.1,34.2,0,0
BA Stokes (ENG),11,11,50.5,1,246,7,43913,35.14,4.83,43.5,0,0
Mujeeb Ur Rahman (AFG),7,7,57.5,1,259,7,14305,37,4.47,49.5,0,0
KAJ Roach (WI),4,4,33,4,121,6,13210,20.16,3.66,33,0,0
C de Grandhomme (NZ),10,10,51,4,212,6,43844,35.33,4.15,51,0,0
I Udana (SL),7,7,51.3,0,296,6,15008,49.33,5.74,51.5,0,0
MJ Santner (NZ),10,9,67,4,323,6,12451,53.83,4.82,67,0,0
Kuldeep Yadav (INDIA),7,7,67,2,337,6,11720,56.16,5.02,67,0,0
Mehidy Hasan Miraz (BDESH),7,7,67,0,341,6,17199,56.83,5.08,67,0,0
Rashid Khan (AFG),9,8,71.5,1,416,6,43878,69.33,5.79,71.8,0,0